PUMFID,CS_05A,CS_05B,CS_05C,CS_05D,CS_05E,CS_05F,CS_05G,CS_05H,CS_05I,CS_05J,CS_05K,CS_05L,CS_05M,CS_05N,CS_10A,CS_10B,CS_10C,CS_10D,CS_10EF,CS_10G,CS_15A,CS_15B,CS_15C,CS_15D,CS_15G,CS_15H,CS_15J,CS_15K,CS_15L,CS_15EFI,PCS_20A,PCS_20B,PCS_20C,PCS_20D,PCS_20E,CS_25A,CS_25B,CS_25C,CS_25D,CS_25E,CS_25F,CS_25G,CS_25H,CS_25I,CS_25J,CS_30AA,CS_30AB,CS_30AC,CS_30AD,CS_30AE,CS_30BA,CS_30BB,CS_30BC,CS_30BD,CS_30BE,CS_30CA,CS_30CB,CS_30CC,CS_30CD,CS_30CE,CS_30DA,CS_30DB,CS_30DC,CS_30DD,CS_30DE,CS_30EA,CS_30EB,CS_30EC,CS_30ED,CS_30EE,CS_30FA,CS_30FB,CS_30FC,CS_30FD,CS_30FE,CS_30GA,CS_30GB,CS_30GC,CS_30GD,CS_30GE,CS_30HA,CS_30HB,CS_30HC,CS_30HD,CS_30HE,CS_30IA,CS_30IB,CS_30IC,CS_30ID,CS_30IE,CS_30JA,CS_30JB,CS_30JC,CS_30JD,CS_30JE,CS_35A,CS_35B,CS_35C,CS_35D,CS_35E,CS_40A,CS_40B,CS_40C,CS_40D,CS_40E,CS_40F,CS_40G,CS_40H,CS_40I,CS_40J,CS_40K,PCS_45A,PCS_45B,PCS_45C,PCS_45D,PCS_45E,PCS_45F,PCS_45G,PCS_45H,CPD_05A,CPD_05B,CPD_05C,CPD_05D,CPD_05E,CPD_05F,CPD_10A,CPD_10B,CPD_10C,CPD_10D,CPD_10E,CPD_10F,CPD_10G,CPD_10H,CPD_10I,CPD_10JC,CPD_10K,CPD_10L,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,PDWELCDC,PEDUC_LC,RURURB,PERS_WGT,VERDATE
6042,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,4,4,4,4,4,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,4,4,1,4,3,2,4,2,1,4,4,4,4,3,4,2,1,4,1,2,0,3,3,5,2,827.0683,18/12/2020
6043,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,4,4,4,4,4,4,2,2,3,3,2,4,4,4,4,3,4,2,2,5,1,1,0,1,1,2,1,2070.8327,18/12/2020
6044,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,7,1,1,0,3,4,3,2,1325.8501,18/12/2020
6045,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,3,1,1,1,2,2,3,2,3,2,2,5,1,1,0,4,1,4,1,3719.3613,18/12/2020
6046,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,4,4,1,2,1,1,4,4,1,4,1,4,4,1,4,2,1,3,2,2,0,1,4,2,2,13842.9834,18/12/2020
6047,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,4,2,4,2,2,4,4,2,2,4,2,3,2,3,2,2,5,1,2,0,1,1,2,1,3622.8324,18/12/2020
6048,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,5,1,1,0,1,1,6,1,1371.4025,18/12/2020
6049,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,4,2,3,2,3,2,2,5,2,1,0,1,1,2,2,6480.9336,18/12/2020
6050,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,1,2,4,4,1,2,1,1,2,4,2,4,2,4,4,2,3,1,1,4,2,2,0,4,3,6,2,15476.5426,18/12/2020
6051,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,4,4,4,4,4,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,2,2,2,2,4,2,2,4,4,4,1,2,4,4,4,4,3,4,4,3,4,1,2,0,1,1,2,2,5911.2261,18/12/2020
6052,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,4,4,2,2,2,2,4,2,6,6,6,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,4,1,4,4,1,4,1,2,4,4,1,4,4,4,4,3,4,1,2,5,1,1,0,1,1,7,2,2492.9092,18/12/2020
6053,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,4,4,4,2,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,1,2,1,2,1,2,2,1,1,4,4,2,1,1,4,1,4,4,4,1,4,4,2,3,2,2,7,2,1,0,1,1,4,2,4811.4676,18/12/2020
6054,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,4,4,2,4,2,2,3,4,1,4,4,4,3,2,3,2,2,6,1,1,0,1,1,7,2,1429.6386,18/12/2020
6055,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,2,2,2,4,2,4,2,2,4,4,2,2,4,4,4,3,4,2,2,5,1,2,0,1,1,3,2,2837.1805,18/12/2020
6056,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,2,2,4,4,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,4,2,4,2,2,3,1,1,1,2,2,3,2,3,1,2,4,1,2,1,2,2,2,2,7012.9989,18/12/2020
6057,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,4,4,2,2,2,4,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,4,4,1,1,4,4,4,3,4,2,1,2,1,2,0,3,4,4,1,1970.4838,18/12/2020
6058,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,1,2,2,2,2,2,2,2,4,2,2,2,1,2,2,4,4,4,3,4,2,2,5,1,2,0,3,4,1,2,10090.337,18/12/2020
6059,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,5,1,1,0,2,1,7,2,755.6321,18/12/2020
6060,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,1,2,1,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,6,6,6,6,6,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,4,4,4,2,4,1,1,1,2,2,4,4,4,3,2,3,1,3,5,1,2,0,1,1,6,2,3605.44,18/12/2020
6061,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,1,1,2,2,2,2,4,2,4,2,2,3,4,2,4,4,2,4,3,4,2,2,4,1,2,0,1,1,7,2,3141.0911,18/12/2020
6062,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,3,2,3,4,3,4,2,4,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,4,2,4,1,2,4,2,1,1,1,1,6,2,15897.3233,18/12/2020
6063,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,4,4,4,4,2,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,1,2,2,2,2,6,6,6,6,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,4,2,2,1,1,1,2,1,2,2,2,3,2,3,2,1,3,1,1,0,4,2,7,2,860.226,18/12/2020
6064,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,1,1,2,4,2,4,1,1,4,2,1,2,4,2,3,2,3,2,2,2,1,2,0,1,1,7,2,4546.7904,18/12/2020
6065,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,4,2,2,1,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,2,2,4,4,2,4,2,2,4,4,4,4,4,4,4,3,4,4,2,4,1,1,0,3,1,1,1,59590.6267,18/12/2020
6066,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,4,2,3,2,1,2,2,1,0,4,3,7,2,24070.5687,18/12/2020
6067,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,1,2,2,2,2,2,2,4,2,4,1,1,1,2,1,2,4,1,3,2,3,1,2,5,1,1,0,1,1,2,1,17156.4169,18/12/2020
6068,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,4,4,4,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,4,2,4,1,4,4,4,4,4,1,4,4,3,4,2,3,5,1,2,1,1,1,6,2,15488.5471,18/12/2020
6069,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,4,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,9,4,1,2,1,4,2,2,3,1,2,4,4,4,3,2,3,1,2,3,2,2,0,2,1,7,2,5095.8109,18/12/2020
6070,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,2,2,3,2,2,4,2,4,2,2,2,4,2,2,4,4,4,3,4,2,2,6,1,1,0,1,1,4,2,2196.8364,18/12/2020
