PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
6032,Increase,Increase,3,35 to 44 years old,Living common-law,Trade certificate or diploma,Male,Urban,More,Not Applicable,Yes,Yes,Same,No,Yes,Same,No
6034,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,Yes,Yes,Same,Yes,Yes,Same,Yes
6035,Same,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,Yes
6036,Not Applicable,Same,1,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6037,Same,Same,3,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Same,No,Yes,Increase,No,Yes,Decrease,Yes
6038,Same,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Same,Yes,Yes,Same,No,Yes,Same,Yes
6040,Not Applicable,Same,2,25 to 34 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6041,Not Applicable,Same,2,65 to 74 years old,Living common-law,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,Yes,Same,Yes,Yes,Increase,No
6042,Not Applicable,Same,1,45 to 54 years old,Widowed/Separated/Divorced,University certificate or diploma below the bachelor’s level,Female,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Same,No
6045,Same,Increase,2,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Same,Yes,Yes,Increase,Yes,Yes,Increase,No
6047,Same,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6048,Same,Same,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Same,No,No,Same,No,Yes,Same,No
6049,Same,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6050,Not Applicable,Same,1,45 to 54 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,Yes,Increase,No,Yes,Increase,No
6051,Same,Same,3,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,Yes,Same,No,Yes,Same,No
6052,Not Applicable,Increase,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Not Applicable,Yes
6053,Not Applicable,Increase,2,75 years and older,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,No
6054,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
6056,Same,Increase,2,45 to 54 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6057,Increase,Increase,1,25 to 34 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Increase,No,No,Increase,No,Yes,Increase,No
6058,Same,Same,2,55 to 64 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6059,Same,Increase,2,55 to 64 years old,Living common-law,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Same,No,Yes,Same,No,Yes,Increase,No
6060,Not Applicable,Not Applicable,3,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,Yes
6061,Same,Same,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6062,Increase,Increase,2,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Same,No,No,Increase,No,Yes,Same,No
6063,Same,Same,1,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,No,Yes,Same,Yes,No,Same,No
6065,Not Applicable,Same,2,45 to 54 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Male,Rural,More,Not Applicable,No,No,Same,No,No,Same,No
6066,Same,Same,1,25 to 34 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Increase,No,Yes,Same,Yes,Yes,Same,Yes
6067,Same,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6068,Same,Same,3,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6070,Same,Same,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Decrease,No
6071,Same,Same,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Male,Rural,More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6072,Increase,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Increase,Yes,Yes,Increase,Yes,Yes,Same,Yes
6073,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6074,Same,Increase,2,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Same,No,No,Increase,No,Yes,Increase,No
6076,Increase,Decrease,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Rural,More,Not Applicable,No,No,Same,No,Yes,Increase,No
6077,Same,Increase,2,65 to 74 years old,Married,Trade certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
6078,Increase,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6079,Not Applicable,Increase,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,Yes,Yes,Same,No,Yes,Same,Yes
6080,Decrease,Same,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Decrease,No,Yes,Decrease,Yes,Yes,Same,No
6082,Same,Same,2,65 to 74 years old,Living common-law,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,Yes,Yes,Same,No,Yes,Same,Yes
6083,Not Applicable,Not Applicable,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,Yes,Not Applicable,Yes,No,Not Applicable,No
6085,Increase,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Increase,No,No,Same,No,Yes,Same,Yes
6086,Same,Same,3,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,Yes,Same,No,No,Same,No
6087,Same,Increase,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Increase,No,No,Same,No,Yes,Increase,No
6088,Increase,Increase,3,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6089,Same,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Increase,No,No,Same,No,No,Same,Yes
6090,Increase,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Increase,Yes,Yes,Increase,Yes,Yes,Increase,Yes
6091,Same,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
6092,Not Applicable,Not Applicable,1,75 years and older,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
6093,Not Applicable,Same,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6094,Same,Increase,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Increase,No,Yes,Increase,No,Yes,Same,No
6096,Increase,Increase,2,25 to 34 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Same,Yes,Yes,Increase,No,Yes,Increase,Yes
6097,Increase,Increase,1,65 to 74 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,Yes,Same,Yes,Yes,Increase,Yes
6100,Same,Same,2,25 to 34 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,No,Same,No,Yes,Decrease,No
6101,Not Applicable,Not Applicable,2,75 years and older,Married,Trade certificate or diploma,Male,Urban,More,Not Applicable,No,Yes,Same,No,No,Same,No
6102,Not Applicable,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Same,No,Yes,Same,No,No,Same,No
6103,Not Applicable,Not Applicable,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6104,Same,Same,1,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,Yes,Same,No,Yes,Increase,Yes
6105,Same,Same,4,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,No,Same,No,Yes,Same,Yes
6106,Increase,Increase,3,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Increase,No,No,Increase,No,Yes,Increase,Yes
6107,Same,Same,1,55 to 64 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Same,No,Yes,Increase,No,Yes,Increase,Yes
6108,Same,Same,1,55 to 64 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Increase,No,Yes,Same,Yes,Yes,Same,Yes
6109,Not Applicable,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Not Applicable,Yes,Yes,Increase,Yes,Yes,Increase,No
6110,Same,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
6113,Not Applicable,Same,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6114,Increase,Increase,4+,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,More,Same,No,Yes,Same,Yes,Yes,Increase,No
6115,Not Applicable,Same,1,45 to 54 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Increase,No,No,Same,No,Yes,Same,Yes
6117,Not Applicable,Not Applicable,1,75 years and older,Widowed/Separated/Divorced,Trade certificate or diploma,Female,Rural,More,Not Applicable,No,No,Same,No,Yes,Same,No
6118,Increase,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,No,Yes,Decrease,No,Yes,Same,Yes
6119,Same,Same,2,75 years and older,Married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Not Applicable,No,No,Increase,No,No,Not Applicable,No
6120,Same,Same,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
6121,Same,Increase,3,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Same,No,Yes,Same,No,Yes,Increase,Yes
6122,Increase,Increase,4,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Increase,No,Yes,Same,No,Yes,Increase,No
6123,Not Applicable,Not Applicable,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6124,Increase,Increase,2,45 to 54 years old,Single/Never married,Trade certificate or diploma,Female,Urban,Not More,Same,No,No,Increase,No,Yes,Increase,No
6125,Same,Same,2,55 to 64 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Urban,More,Same,No,Yes,Same,No,Yes,Increase,No
6126,Same,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6127,Same,Increase,1,55 to 64 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,Yes,Same,No,No,Same,No
6128,Not Applicable,Not Applicable,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6129,Not Applicable,Increase,1,45 to 54 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Not Applicable,Yes,Yes,Increase,Yes,Yes,Increase,Yes
6130,Same,Increase,2,25 to 34 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,More,Same,Yes,Yes,Same,Yes,Yes,Increase,Yes
6131,Increase,Increase,1,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Same,No,No,Increase,No,Yes,Same,Yes
6132,Not Applicable,Same,1,75 years and older,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Increase,No
6133,Same,Decrease,2,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Decrease,No
6134,Same,Same,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
6135,Same,Not Applicable,2,65 to 74 years old,Married,Trade certificate or diploma,Male,Rural,More,Same,No,No,Not Applicable,No,Yes,Not Applicable,No
6136,Same,Same,2,35 to 44 years old,Living common-law,University certificate or diploma below the bachelor’s level,Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6137,Increase,Increase,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6138,Same,Same,1,55 to 64 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,Yes,Yes,Same,No,Yes,Same,Yes
6139,Same,Same,3,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Same,No,No,Same,No,Yes,Same,No
6140,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6142,Not Applicable,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,No,Increase,No,No,Increase,Yes
6143,Not Applicable,Increase,1,75 years and older,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,No,Not Applicable,No,Yes,Increase,No
6144,Increase,Same,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Male,Rural,More,Same,No,No,Same,No,Yes,Increase,No
6145,Increase,Increase,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Male,Rural,Not More,Increase,Yes,Yes,Increase,No,Yes,Increase,No
6146,Increase,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Increase,No
6147,Increase,Increase,3,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Increase,No,Yes,Same,No,Yes,Same,Yes
6148,Increase,Increase,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Increase,No,Yes,Increase,No,Yes,Same,No
6149,Same,Same,4,45 to 54 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,No,Same,No,Yes,Increase,Yes
6150,Same,Same,2,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,Yes
6152,Increase,Same,2,25 to 34 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,Yes,Yes,Increase,No
6153,Same,Not Applicable,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Increase,No,No,Same,No,Yes,Increase,Yes
6154,Same,Same,2,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6155,Same,Increase,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6156,Same,Same,1,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Same,Yes,Yes,Increase,No,Yes,Same,No
6157,Not Applicable,Same,1,75 years and older,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,Yes,Yes,Same,No,Yes,Decrease,No
6158,Not Applicable,Increase,1,75 years and older,Widowed/Separated/Divorced,"University certificate, diploma, degree above the BA level",Female,Urban,More,Not Applicable,No,No,Increase,No,Yes,Same,No
6159,Same,Increase,2,25 to 34 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,Yes,Same,No,Yes,Increase,No
6160,Same,Same,3,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
6161,Increase,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Same,No,Yes,Same,No,Yes,Same,No
6162,Increase,Same,2,65 to 74 years old,Married,University certificate or diploma below the bachelor’s level,Male,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6163,Same,Increase,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
6164,Increase,Increase,4,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,More,Same,No,Yes,Same,No,Yes,Increase,Yes
6165,Not Applicable,Not Applicable,2,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Not Applicable,No,No,Not Applicable,No,No,Not Applicable,No
6166,Not Applicable,Not Applicable,2,75 years and older,Married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6167,Same,Increase,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,Yes,Yes,Increase,No,Yes,Increase,Yes
6169,Same,Same,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6170,Not Applicable,Not Applicable,1,75 years and older,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6171,Increase,Not Applicable,2,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Increase,No,No,Same,No,No,Decrease,Yes
6172,Not Applicable,Not Applicable,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,No
6173,Increase,Increase,1,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6174,Not Applicable,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
6175,Same,Same,1,55 to 64 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,No,Same,No,No,Same,Yes
6176,Not Applicable,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,Yes
6177,Not Applicable,Increase,2,75 years and older,Married,Less than high school diploma or its equivalent,Female,Urban,Not More,Not Applicable,No,Yes,Not Applicable,No,No,Same,No
6178,Decrease,Decrease,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Rural,Not More,Not Applicable,No,No,Same,No,No,Same,Yes
6179,Not Applicable,Not Applicable,2,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
6181,Not Applicable,Decrease,2,55 to 64 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,No
6182,Same,Same,1,55 to 64 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,Yes,Same,No,No,Same,No
6183,Same,Not Applicable,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
6184,Same,Same,2,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Same,No,Yes,Same,Yes,Yes,Same,Yes
6185,Same,Increase,2,15 to 24 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,Yes,Same,No,Yes,Increase,No
6186,Increase,Increase,2,15 to 24 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
6187,Increase,Increase,1,65 to 74 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,No,Increase,No,Yes,Same,No
6188,Same,Increase,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Not Applicable,No,No,Same,No,Yes,Increase,No
6189,Increase,Increase,2,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Increase,No,Yes,Same,No,Yes,Increase,Yes
6191,Decrease,Decrease,2,55 to 64 years old,Living common-law,University certificate or diploma below the bachelor’s level,Female,Rural,More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6193,Same,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Increase,No,No,Increase,No,Yes,Same,No
6194,Same,Same,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,Yes,Same,Yes,Yes,Same,Yes
6195,Not Applicable,Not Applicable,2,55 to 64 years old,Living common-law,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Increase,No,No,Same,No
6196,Same,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,No
6197,Same,Same,2,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Male,Urban,More,Not Applicable,No,Yes,Same,Yes,Yes,Same,No
6198,Same,Increase,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Increase,No,Yes,Increase,Yes,Yes,Increase,Yes
6199,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Female,Urban,Not More,Not Applicable,No,Yes,Same,No,No,Same,No
6200,Not Applicable,Same,2,55 to 64 years old,Married,Trade certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6201,Same,Same,3,35 to 44 years old,Living common-law,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6202,Same,Same,2,35 to 44 years old,Married,University certificate or diploma below the bachelor’s level,Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
6204,Not Applicable,Not Applicable,2,55 to 64 years old,Married,University certificate or diploma below the bachelor’s level,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6205,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Decrease,No,No,Same,No,Yes,Same,Yes
6207,Same,Same,2,75 years and older,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
6208,Same,Same,3,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6209,Same,Increase,4,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Urban,Not More,Same,No,No,Same,No,Yes,Increase,No
6210,Not Applicable,Not Applicable,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,No,Not Applicable,No,Yes,Same,Yes
6211,Same,Same,1,45 to 54 years old,Widowed/Separated/Divorced,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6213,Not Applicable,Same,2,45 to 54 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,No,Same,No
6214,Same,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,No,Yes,Increase,No,Yes,Increase,Yes
6215,Not Applicable,Same,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,Yes,Yes,Same,No,Yes,Not Applicable,Yes
6216,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6217,Same,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Increase,Yes,Yes,Same,No,Yes,Same,Yes
6219,Increase,Same,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
