PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
6672,Same,Increase,1,45 to 54 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
6673,Not Applicable,Same,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6674,Not Applicable,Increase,1,75 years and older,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6675,Increase,Same,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Increase,No,Yes,Increase,No,Yes,Increase,Yes
6676,Increase,Same,2,35 to 44 years old,Married,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Increase,No
6677,Not Applicable,Increase,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Not Applicable,No,Yes,Increase,No,Yes,Same,No
6678,Same,Increase,1,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Same,No,No,Same,Yes
6680,Not Applicable,Same,3,45 to 54 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Same,No,Yes,Same,Yes
6681,Not Applicable,Same,2,55 to 64 years old,Married,Trade certificate or diploma,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6682,Not Applicable,Not Applicable,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,No,Increase,No,No,Not Applicable,No
6683,Increase,Increase,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Increase,No,No,Increase,No,Yes,Same,Yes
6684,Same,Same,1,55 to 64 years old,Single/Never married,Trade certificate or diploma,Male,Rural,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,No
6685,Same,Same,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Rural,Not More,Decrease,No,Yes,Increase,No,Yes,Increase,Yes
6686,Not Applicable,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Not Applicable,Yes,Yes,Increase,Yes,No,Same,No
